Morphology,Phase,Ni ,Co ,Fe ,Al ,Mo ,Zn ,Mn ,Cr ,Cu,Mg,Nb,Sn,B,Ga,Al,Fe,Zn,La,WE,Overpotential(mV)
0.1,0.1,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,2,0,0,0.3,351
0.1,0,0,0.2,0.2,0,0,0.2,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0.3,430
0.1,0.2,0.2,0.2,0.2,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0.3,288
0.1,0.2,0.2,0.2,0.2,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0.1,298
0.1,0.2,0.25,0.25,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.2,355
0.1,0.2,0.2,0.2,0.2,0,0,0,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0.1,278
0.2,0.2,0.2,0.2,0.2,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,255.3
0.5,0.2,0.2,0,0.2,0,0,0,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0.2,293
0.1,0,0.2,0.2,0,0,0,0.2,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0.3,389
0.1,0.2,0.2,0.2,0.2,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0.2,332
0.1,0,0.2,0.2,0.2,0,0,0,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0.3,266
0.1,0.1,0.2,0.2,0.2,0,0,0.2,0.2,0,0,0,0,0,0,0,0,2,0,0,0.3,326
0.2,0.2,0,0.2,0.2,0,0,0.2,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0.1,240
0.1,0.2,0.2,0,0.2,0,0,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0.2,295
0.1,0.2,0.2,0.2,0.2,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0.2,344
0.5,0.2,0.2,0,0.2,0,0,0.2,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0.2,346
0.4,0.2,0,0.2,0.2,0,0,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0.2,495
0.1,0.2,0.2,0.2,0.2,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0.5,275
0.1,0.3,0.333333,0.166666667,0.166666667,0,0,0,0.166666667,0.166666667,0,0,0,0,0,0,0,0,0,1,0.1,335
0.1,0.2,0.2,0.2,0.2,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0.1,338
0.1,0,0.2,0.2,0.2,0,0,0,0,0,0.2,0,0,0,0.2,0,0,0,0,0,0.3,258
0.6,0,0,0.2183,0.2029,0,0.1858,0,0.1943,0.1987,0,0,0,0,0,0,0,0,0,0,0.1,188
0.1,0.5,0,0.25,0.25,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0.3,638
0.4,0.2,0.2,0,0.2,0,0,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0.2,460
0.2,0.2,0.258785942,0.249201278,0.233226837,0.031948882,0,0,0,0.226837061,0,0,0,0,0,0,0,0,0,0,0.6,381
0.1,0,0.2,0.2,0,0,0,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0.3,400
0.1,0,0.2,0.2,0.2,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0.8,287
0.1,0.2,0.333,0.333,0.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,366
0.1,0.3,0.166666667,0.166666667,0.333333333,0,0,0,0.166666667,0.166666667,0,0,0,0,0,0,0,0,0,1,0.1,343
0.1,0.2,0.2,0.2,0.2,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0.1,220
0.1,0.2,0.2,0.2,0.2,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0.3,366
0.1,0,0.2,0.2,0.2,0,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0.3,323
0.2,0.2,0.2,0.2,0.2,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0.2,239
0.2,0.2,0.2,0.2,0.2,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0.2,411
0.1,0.2,0.2,0.2,0.2,0,0,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0.2,400
0.1,0.2,0.2,0.2,0.2,0,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0.1,306
0.2,0.4,0.2,0.2,0.2,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0.3,336
0.1,0.2,0.333333333,0,0.333333333,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0.1,241
0.7,0.2,0.2,0.2,0.2,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,350
0.1,0,0.2,0.2,0,0.2,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0.3,384
0.1,0.2,0.2,0.2,0.2,0,0,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0.2,350
0.7,0.2,0.2,0.2,0.2,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,258
0.1,0.3,0.2,0.2,0.2,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,1,0.1,359
0.7,0.3,0.192307692,0.207244212,0.207244212,0,0,0,0.21004481,0.183159074,0,0,0,0,0,0,0,0,0,1,0.7,450
0.5,0.2,0.2,0.2,0.2,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0.2,386
0.1,0,0.166666667,0.166666667,0.333333333,0.166666667,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0.1,230
0.3,0.2,0.2,0.2,0.2,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0.1,293
0.4,0.2,0.2,0.2,0.2,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0.2,365
0.5,0.2,0.2,0.2,0.2,0,0,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0.2,306
0.1,0.5,0.2,0.2,0,0,0,0.2,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0.3,402
0.4,0.2,0.2,0,0.2,0,0,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0.2,376
0.1,0.2,0.2,0.2,0.2,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0.3,366
0.1,0.3,0.166666667,0.166666667,0.166666667,0,0,0,0.333333333,0.166666667,0,0,0,0,0,0,0,0,0,1,0.1,353
0.1,0.2,0,0.2,0.2,0,0,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0.2,404
0.1,0.2,0.2,0.2,0.2,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0.2,352
0.5,0.2,0.2,0,0.2,0,0,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0.2,413
0.1,0.5,0.25,0.25,0,0,0,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0.3,347
0.2,0.2,0.2,0.2,0.2,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,255.3
0.4,0.2,0.2,0.2,0.2,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0.2,360