No,Morphology,Phase ,Ni ,Co ,Fe ,Al ,Mo ,Zn ,Mn ,Cr ,Cu,Mg,Nb,Sn,B,Ga,Al,Fe,Zn,La,WE,tafel(mV/dec),ECSA(cm2),Rct,Cdl(mF/cm2),Overpotential(mV)
1.0,1,1,0.2,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0.0,0.429,0.0,0.0172,430.0
2.0,1,2,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,5,50.27,0.0,0.0,9.5,275.0
3.0,2,2,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,37.0,0.0,9.01,1.18,255.3
5.1,1,2,0.2,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,68.3,0.0,3.735,3.73,306.0
5.2,1,2,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,59.0,0.0,0.769,3.93,298.0
5.3,1,2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,71.4,0.0,7.994,3.46,338.0
5.4,1,2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0,0,0,0,1,49.9,0.0,0.146,4.41,278.0
6.0,2,2,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,37.0,0.0,0.0,1.18,255.3
7.0,1,0,0.166666666666667,0.166666666666667,0.333333333333333,0.166666666666667,0.0,0.0,0.0,0.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,29.0,0.0,0.0,0.0,230.0
9.0,3,2,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,55.6,0.0,0.0,1.68,293.0
10.0,1,2,0.333333333333333,0.0,0.333333333333333,0.0,0.0,0.0,0.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,44.8,75.75,29.8,3.03,241.0
11.0,2,2,0.0,0.2,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0,0,0,0,1,59.0,582.0,1.12,23.28,240.0
13.0,1,2,0.0,0.2,0.2,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,43.55,0.0,18.34,1.12,404.0
14.0,1,2,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3,76.35,0.0,26.31,3.42,366.0
15.0,7,2,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,40.0,0.0,0.0,0.19,258.0
16.1,1,3,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,78.6,11.5,48.5,0.46,359.0
16.2,1,3,0.333333,0.166666666666667,0.166666666666667,0.0,0.0,0.0,0.166666666666667,0.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,55.1,11.0,18.2,0.44,335.0
16.3,1,3,0.166666666,0.333333333333333,0.166666666666667,0.0,0.0,0.0,0.166666666666667,0.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,51.2,10.8,17.7,0.43,325.0
16.4,1,3,0.166666666666667,0.166666666666667,0.333333333333333,0.0,0.0,0.0,0.166666666666667,0.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,54.0,13.0,21.2,0.52,343.0
16.5,1,3,0.166666666666667,0.166666666666667,0.166666666666667,0.0,0.0,0.0,0.333333333333333,0.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,66.3,12.75,33.8,0.51,353.0
16.6,1,3,0.166666666666667,0.166666666666667,0.166666666666667,0.0,0.0,0.0,0.166666666666667,0.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,56.0,8.25,23.3,0.33,343.0
17.0,1,2,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,54.5,0.0,0.0,0.0,332.0
18.0,2,4,0.2,0.2,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3,47.5,27.33,0.0,1.64,336.0
19.0,2,2,0.258785942492013,0.249201277955272,0.233226837060703,0.0319488817891374,0.0,0.0,0.0,0.226837060702875,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,6,60.9,0.0,0.0,0.325,381.0
20.1,1,1,0.2,0.2,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0,3,53.6,12.75,0.0,0.765,326.0
20.2,1,1,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0,3,69.9,11.08,0.0,0.665,334.0
20.3,1,1,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0,3,71.6,9.33,0.0,0.56,351.0
21.1,1,2,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,76.7,0.0,4.33,0.0,400.0
21.2,1,2,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,59.5,0.0,0.74,5.46,350.0
22.0,1,0,0.222,0.222,0.222,0.0,0.0,0.0,0.0,0.222,0.0,0.0,0.112,0.0,0.0,0.0,0,0,0,0,2,27.7,94.5,0.0,5.67,288.0
23.0,7,3,0.192307692307692,0.207244212098581,0.207244212098581,0.0,0.0,0.0,0.210044809559373,0.183159073935773,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,7,51.0,0.0,48.4,0.0,450.0
24.0,1,2,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3,76.35,0.0,26.31,3.42,366.0
25.0,1,0,0.2,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,0,0,0,2,71.0,0.0,166.9,0.0,370.0
26.1,1,5,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0,0,0,0,3,60.0,0.0,4.3,87.0,454.0
26.1,1,5,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0,0,0,0,3,83.0,0.0,6.76,73.6,638.0
26.1,1,5,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0,0,0,0,3,131.0,0.0,17.34,67.0,861.0
26.1,1,5,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0,0,0,0,3,182.0,0.0,15.49,64.5,1000.0
26.1,1,5,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0,0,0,0,3,200.0,0.0,34.0,50.1,1000.0
26.1,1,5,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3,189.0,0.0,15.89,55.7,1000.0
27.0,1,2,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3,60.0,0.0,8.7,12.5,288.0
28.1,7,2,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,35.0,205.0,21.0,8.2,350.0
28.2,7,2,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,40.0,97.0,27.0,3.9,390.0
29.0,1,2,0.2,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,53.7,10.33,21.75,0.62,295.0
30.1,1,0,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0,0,0,0,3,64.5,0.0,0.0,2.18,266.0
30.2,1,0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0,0,0,0,3,73.9,0.0,0.0,1.45,258.0
30.3,1,0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0,0,0,0,3,68.2,0.0,0.0,1.16,264.0
31.0,4,5,0.2,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0,0,0,0,1,54.0,57.0,1.7,2.28,310.0
32.1,5,2,0.2,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0,0,0,0,2,35.5,0.0,0.0,0.0,346.0
32.2,5,2,0.2,0.0,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0,0,0,0,2,46.5,0.0,0.0,0.0,293.0
32.3,5,2,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0,0,0,0,2,45.9,0.0,0.0,0.0,306.0
32.4,5,2,0.2,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,60.9,0.0,0.0,0.0,413.0
32.5,5,2,0.2,0.2,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,53.9,0.0,0.0,0.0,365.0
32.6,5,2,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,52.4,0.0,0.0,0.0,386.0
33.1,4,2,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,49.1,36.3,0.0,1.45,365.0
33.2,4,2,0.0,0.2,0.2,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,62.5,96.8,0.0,3.87,393.0
33.3,4,2,0.2,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,59.6,29.0,0.0,1.16,376.0
34.1,1,5,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3,104.5,1.42,3.2,1.58,347.0
34.2,1,0,0.2,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3,64.5,0.0,2.2,2.32,323.0
34.3,1,0,0.2,0.2,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3,105.9,0.0,4.8,1.67,389.0
34.4,1,5,0.2,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0,0,0,0,3,129.7,0.0,5.5,2.1,402.0
34.5,1,0,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3,171.6,0.0,5.7,1.8,400.0
34.6,1,0,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3,92.6,0.0,5.3,2.56,384.0
35.1,1,2,0.2,0.2,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,53.0,273.0,0.0,16.37,284.0
35.2,1,2,0.2,0.2,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,75.0,236.0,0.0,14.16,344.0
35.3,1,2,0.2,0.2,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,79.0,251.0,0.0,15.06,349.0
35.4,1,2,0.2,0.2,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,82.0,227.0,0.0,13.62,352.0
35.5,1,2,0.333,0.333,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,94.0,366.0,0.0,0.0,366.0
35.6,1,2,0.25,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,88.0,355.0,0.0,0.0,355.0
36.0,6,0,0.0,0.2183,0.2029,0.0,0.1858,0.0,0.1943,0.1987,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,30.0,856.1,5.0,0.0,188.0
37.0,2,2,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,52.4,312.5,0.0,12.5,239.0
38.1,4,2,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,41.0,0.0,0.0,0.0,360.0
38.2,4,2,0.0,0.2,0.2,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,52.0,0.0,0.0,0.0,495.0
38.3,4,2,0.2,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,58.0,0.0,0.0,0.0,460.0
39.0,1,0,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,95.8,837.0,2.95,33.48,287.0
40.0,1,2,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,100.0,41.4,6.87,6.39,220.0
41.0,2,2,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,58.0,0.0,15.76,0.0,411.0
42.0,1,0,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0,0,0,0,3,70.0,439.0,7.9,2.635,430.0
